Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
Tyrosine,7.2,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Tyrosine,7.2,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Tryptophan,7.21,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Tryptophan,7.21,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Indole,7.22,Triplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Indoxylksulfate,7.22,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Tryptophan,7.231,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
4-Glucuronosidoacetanilide (Paracetamol metabolite),7.24,AA' BB' system,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
N-acetyltryptophan,7.25,Triplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetyltryptophan,7.26,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Tryptophan,7.27,,,,,
Tryptophan,7.2788,Triplet,1,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tryptophan,7.28,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Tryptophan,7.29,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Tryptophan,7.29,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Tryptophan,7.29,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Phosphocreatine,7.296,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
3-carboxamide derivative 4 (Coumarin),7.3,Broad signal (br),,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Tryptophan,7.307,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Urocanate,7.31,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Tryptophan,7.312,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phenylalanine,7.32,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Phenylalanine,7.3223,Multiplet,7.909,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phenylalanine,7.3223,Multiplet,"0.994, 7.534, 1.419, 0.462, 0.970, 7.350",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tryptophan,7.33,Singlet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Phenylalanine,7.33,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Tryptophan,7.33,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Phenylacetate,7.33,Triplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Acetamido-coumarin,7.33,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Oxamidocoumarin,7.33,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.33,Multiplet,,Metabolites,Miscelaneous list,Unknown
Phenylalanine,7.33,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Tryptophan,7.33,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Phenylalanine,7.33,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Tryptophan,7.33,,,,,
Indoxylksulfate,7.348,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Phenylalanine,7.35,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Oxamidocoumarin,7.35,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.35,Multiplet,,Metabolites,Miscelaneous list,Unknown
Phenylalanine,7.35,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
3-carboxamide derivative 7 (Coumarin),7.36,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Thymine,7.36,Quartet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Phenylalanine,7.36,,,,,
Phenylalanine,7.366,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Phenylalanine,7.3693,Multiplet,7.204,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Thymine,7.37,Doublet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
3-carboxamide derivative 7 (Coumarin),7.37,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
β-phenylpyruvate,7.38,Triplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Acetamido-coumarin,7.38,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.38,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Phenylalanine,7.38,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Ethyl coumarin-carboxylate,7.39,,,Naturally occurring coumarin,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.39,,,,,
Phenylalanine,7.4,Multiplet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Phenylalanine,7.4,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Phenylalanine,7.4,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Phenylalanine,7.4,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
3-carboxamide derivative 5 (Coumarin),7.4,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
3-carboxamide derivative 8 (Coumarin),7.4,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.4,Multiplet,,Metabolites,Miscelaneous list,Unknown
Phenylalanine,7.4,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Urocanate,7.41,Singlet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Uracil,7.41,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Phenylalanine,7.42,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
3-carboxamide derivative 4 (Coumarin),7.42,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.4201,Multiplet,1.592,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phenylalanine,7.4201,Multiplet,0.493,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
3-carboxamide derivative 5 (Coumarin),7.43,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phenylalanine,7.43,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Phenylalanine,7.43,,,,,
3-carboxamide derivative 2 (Coumarin),7.44,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
3-carboxamide derivative 3 (Coumarin),7.44,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
3-carboxamide derivative 6 (Coumarin),7.44,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
3-carboxamide derivative 8 (Coumarin),7.44,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Ethyl coumarin-carboxylate,7.45,,,Naturally occurring coumarin,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
3-carboxamide derivative 3 (Coumarin),7.49,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Nicotinamide,7.5,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Nicotinamide,7.5,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
3-carboxamide derivative 2 (Coumarin),7.5,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
3-carboxamide derivative 4 (Coumarin),7.5,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Acetamido-coumarin,7.5,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Oxamidocoumarin,7.5,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
N-acetyltryptophan,7.5,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Hyppurate,7.515,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Uracil,7.52,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Uracil,7.52,Doublet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
3-carboxamide derivative 6 (Coumarin),7.52,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Uracil,7.52,Doublet,,Metabolites,Miscelaneous list,Unknown
Glutamine,7.529,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Uracil,7.53,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Indole,7.53,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Hippuric acid,7.53,Triplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Tryptophan,7.536,Doublet,"0.945, 1.200, 7.677",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Hyppurate,7.536,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Uracil,7.54,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Tryptophan,7.54,,,,,
Tryptophan,7.55,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Oxamidocoumarin,7.55,,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Tryptophan,7.55,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Deoxythymine (Thymidine),7.56,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
5-Hydroxymethyluracil,7.56,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Hippurate,7.56,,,,,
Nicotinic acid,7.58,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
β-1-glucuronide of (R)-Ketoprofen,7.61,Triplet,7.94,Anti-inflammatory,Ketoprofen triptic,Unknown
β-1-glucuronide of (R)-Ketoprofen,7.62,Triplet,7.94,Anti-inflammatory,Ketoprofen triptic,Unknown
β-1-glucuronide of (S)-Ketoprofen,7.62,Triplet,7.8,Anti-inflammatory,Ketoprofen triptic,Unknown
Hippuric acid,7.63,Triplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
3-carboxamide derivative 7 (Coumarin),7.64,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Hippurate,7.64,,,,,
3-carboxamide derivative 8 (Coumarin),7.65,,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
